Metric,Category,Clean Baseline,Base Model (Attacked),Updated Model (Ours),Absolute Diff,Relative Improvement (%),Higher is Better,Outcome,Attack,NoiseRate
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.5303342946408,11.077640256634398,0.5473059619935974,5.197422481374951,True,🟢 WIN (+),bandwagon,0.2
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,bandwagon,0.2
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,bandwagon,0.2
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.00030646485187880296,-0.23925800484603416,99.87207416347455,False,🟢 WIN (+),bandwagon,0.2
Denoising Detection F1,Adversarial Robustness,,0.9966336621172394,0.9742705764372195,-0.02236308568001988,-2.2438621662158136,True,🔴 LOSS (-),bandwagon,0.2
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.697336524057683,0.19733652405768298,39.46730481153659,True,🟢 WIN (+),bandwagon,0.2
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,nuke_bomb,0.05
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,nuke_bomb,0.05
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.057978765522812364,-0.23928272968088363,80.49570278751276,False,🟢 WIN (+),nuke_bomb,0.05
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18135630149892829,-0.43624175877460764,70.63522164907626,False,🟢 WIN (+),nuke_bomb,0.05
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.844,0.344,68.8,True,🟢 WIN (+),nuke_bomb,0.05
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.0045871559633027525,0.005901639344262295,0.0013144833809595425,28.655737704918028,True,🟢 WIN (+),nuke_bomb,0.05
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8468490106440989,0.8366119288599868,-0.01023708178411209,-1.2088438027843877,True,🔴 LOSS (-),nuke_bomb,0.05
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.469409957163137,10.62358949681421,0.15417953965107323,1.4726669438097997,True,🟢 WIN (+),nuke_bomb,0.05
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,nuke_bomb,0.05
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,nuke_bomb,0.05
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0002817400170293319,-0.23928272968088363,99.88239490714771,False,🟢 WIN (+),nuke_bomb,0.05
Denoising Detection F1,Adversarial Robustness,,0.9997194820753265,0.9768732375525633,-0.02284624452276318,-2.2852655102145714,True,🔴 LOSS (-),nuke_bomb,0.05
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.639042367411387,0.13904236741138698,27.808473482277396,True,🟢 WIN (+),nuke_bomb,0.05
Recall@10,Ranking Accuracy,0.0,0.0,0.006666666666666667,0.006666666666666667,100.0,True,🟢 WIN (+),nuke_bomb,0.1
nDCG@10,Ranking Accuracy,0.0,0.0,0.0025790187148969444,0.0025790187148969444,100.0,True,🟢 WIN (+),nuke_bomb,0.1
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.05833825549369113,-0.23892323971000487,80.37476887017765,False,🟢 WIN (+),nuke_bomb,0.1
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18514311010858842,-0.4324549501649475,70.02207066087804,False,🟢 WIN (+),nuke_bomb,0.1
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8446666666666667,0.3446666666666667,68.93333333333334,True,🟢 WIN (+),nuke_bomb,0.1
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.004258106780216181,0.004918032786885246,0.0006599260066690654,15.498108448928127,True,🟢 WIN (+),nuke_bomb,0.1
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8500129178921576,0.8853937042178734,0.03538078632571584,4.162382192196831,True,🟢 WIN (+),nuke_bomb,0.1
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.318449476107368,10.677038466809405,0.358588990702037,3.4752216554663464,True,🟢 WIN (+),nuke_bomb,0.1
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.004700569223371076,0.004700569223371076,100.0,True,🟢 WIN (+),nuke_bomb,0.1
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,nuke_bomb,0.1
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0006412299879080957,-0.23892323971000484,99.73233510431798,False,🟢 WIN (+),nuke_bomb,0.1
Denoising Detection F1,Adversarial Robustness,,0.9994601957633802,0.9759172430467408,-0.02354295271663942,-2.35556681661119,True,🔴 LOSS (-),nuke_bomb,0.1
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.6415538335460663,0.14155383354606632,28.310766709213265,True,🟢 WIN (+),nuke_bomb,0.1
Recall@10,Ranking Accuracy,0.0,0.006666666666666667,0.0,-0.006666666666666667,-100.0,True,🔴 LOSS (-),nuke_bomb,0.2
nDCG@10,Ranking Accuracy,0.0,0.002103099178571525,0.0,-0.002103099178571525,-100.0,True,🔴 LOSS (-),nuke_bomb,0.2
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.05854387888534669,-0.2387176163183493,80.3055963083177,False,🟢 WIN (+),nuke_bomb,0.2
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18122741071515075,-0.43637064955838517,70.65609133634834,False,🟢 WIN (+),nuke_bomb,0.2
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8453333333333333,0.34533333333333327,69.06666666666665,True,🟢 WIN (+),nuke_bomb,0.2
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.008516213560432362,0.004588659455916093,-0.003927554104516269,-46.11854877341603,True,🔴 LOSS (-),nuke_bomb,0.2
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8095088061596961,0.8925338370383974,0.08302503087870128,10.256223310598859,True,🟢 WIN (+),nuke_bomb,0.2
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.431373573629692,10.962939082844999,0.5315655092153069,5.095834268260645,True,🟢 WIN (+),nuke_bomb,0.2
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.003986591198951247,0.0,-0.003986591198951247,-100.0,True,🔴 LOSS (-),nuke_bomb,0.2
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,nuke_bomb,0.2
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0008468533795636599,-0.23871761631834928,99.64650293065932,False,🟢 WIN (+),nuke_bomb,0.2
Denoising Detection F1,Adversarial Robustness,,0.9988830818511337,0.9746852935460886,-0.024197788305045154,-2.4224845474609227,True,🔴 LOSS (-),nuke_bomb,0.2
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.6402001037359676,0.14020010373596759,28.040020747193516,True,🟢 WIN (+),nuke_bomb,0.2
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.05
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.05
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.05942560064770574,-0.23783589455599025,80.00898145015894,False,🟢 WIN (+),random_flip,0.05
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18365677215487522,-0.43394128811866073,70.26273494551893,False,🟢 WIN (+),random_flip,0.05
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8460000000000001,0.3460000000000001,69.20000000000002,True,🟢 WIN (+),random_flip,0.05
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.003931847968545216,0.0042622950819672135,0.0003304471134219977,8.404371584699476,True,🟢 WIN (+),random_flip,0.05
